,id,applicants,dcp-borough,dcp-femafloodzonea,dcp-projectname,dcp-projectbrief,dcp-ceqrnumber,dcp-publicstatus,dcp-noticeddate,ulurpnumbers,polygon,BBL,Latitude,Longitude,BuiltFAR,ResidFAR,CommFAR,FacilFAR,ZoneMap,OwnerName,ZipCode,Block,LotArea,BldgArea,LandUse
0,2019M0319,NYCHA - New York City Housing Authority,Manhattan,True,Campos Plaza I & II Non-ULURP Modification,"This is a public/private application by the New York City Housing Authority (NYCHA) and Madison Realty Capital requesting a non-ULURP modification to the Campos Plaza II Large Scale Residential Development to facilitate the development of a 24-story residential building with community facility space, ground floor retail, and 175 dwelling units, 53 of which are proposed to be affordable. The project is located in the East Village neighborhood of Manhattan, Community District 3.",22CHA002M,In Public Review,,['M220384ZSM'],"[[-73.976247, 40.727875], [-73.976703, 40.727231], [-73.97679, 40.727267], [-73.97856, 40.728014], [-73.978472, 40.728135], [-73.978334, 40.728325], [-73.978291, 40.728385], [-73.97825, 40.728443], [-73.978201, 40.72851], [-73.977966, 40.728413], [-73.97805, 40.7283], [-73.978146, 40.728164], [-73.977442, 40.727872], [-73.977262, 40.72812], [-73.977194, 40.728214], [-73.977175, 40.728242], [-73.977172, 40.72825], [-73.97717, 40.728259], [-73.977168, 40.728268], [-73.977168, 40.72828], [-73.977169, 40.728289], [-73.97717, 40.728298], [-73.977172, 40.728307], [-73.977176, 40.728316], [-73.977182, 40.728328], [-73.977187, 40.728335], [-73.977191, 40.728341], [-73.977197, 40.728347], [-73.977201, 40.728352], [-73.977207, 40.728357], [-73.977213, 40.728362], [-73.977218, 40.728366], [-73.977223, 40.72837], [-73.977231, 40.728375], [-73.977239, 40.728379], [-73.977245, 40.728382], [-73.977251, 40.728384], [-73.977258, 40.728387], [-73.977264, 40.728389], [-73.977272, 40.728392], [-73.97728, 40.728394], [-73.977289, 40.728396], [-73.977298, 40.728397], [-73.977306, 40.728398], [-73.977314, 40.728399], [-73.977323, 40.728399], [-73.977331, 40.728399], [-73.977343, 40.728399], [-73.977356, 40.728397], [-73.977368, 40.728395], [-73.977379, 40.728393], [-73.977392, 40.728391], [-73.977403, 40.728389], [-73.977415, 40.728388], [-73.977425, 40.728388], [-73.977436, 40.728388], [-73.977447, 40.728389], [-73.977459, 40.72839], [-73.977473, 40.728393], [-73.9775, 40.728404], [-73.978114, 40.728659], [-73.978022, 40.728784], [-73.977983, 40.728836], [-73.977944, 40.728889], [-73.977907, 40.728939], [-73.977867, 40.728992], [-73.977739, 40.729164], [-73.976953, 40.728832], [-73.977138, 40.728575], [-73.976608, 40.728351], [-73.976524, 40.728316], [-73.976437, 40.728279], [-73.976351, 40.728242], [-73.976166, 40.728499], [-73.975889, 40.728382], [-73.976091, 40.728096], [-73.976247, 40.727875]]",1003960029,40.7282978,-73.9761296,6.54,3.44,0,6.5,12c,644 EAST 14TH STREET OWNER LLC,10009,396,10098,66043,04
1,2019M0319,NYCHA - New York City Housing Authority,Manhattan,True,Campos Plaza I & II Non-ULURP Modification,"This is a public/private application by the New York City Housing Authority (NYCHA) and Madison Realty Capital requesting a non-ULURP modification to the Campos Plaza II Large Scale Residential Development to facilitate the development of a 24-story residential building with community facility space, ground floor retail, and 175 dwelling units, 53 of which are proposed to be affordable. The project is located in the East Village neighborhood of Manhattan, Community District 3.",22CHA002M,In Public Review,,['M220384ZSM'],"[[-73.976247, 40.727875], [-73.976703, 40.727231], [-73.97679, 40.727267], [-73.97856, 40.728014], [-73.978472, 40.728135], [-73.978334, 40.728325], [-73.978291, 40.728385], [-73.97825, 40.728443], [-73.978201, 40.72851], [-73.977966, 40.728413], [-73.97805, 40.7283], [-73.978146, 40.728164], [-73.977442, 40.727872], [-73.977262, 40.72812], [-73.977194, 40.728214], [-73.977175, 40.728242], [-73.977172, 40.72825], [-73.97717, 40.728259], [-73.977168, 40.728268], [-73.977168, 40.72828], [-73.977169, 40.728289], [-73.97717, 40.728298], [-73.977172, 40.728307], [-73.977176, 40.728316], [-73.977182, 40.728328], [-73.977187, 40.728335], [-73.977191, 40.728341], [-73.977197, 40.728347], [-73.977201, 40.728352], [-73.977207, 40.728357], [-73.977213, 40.728362], [-73.977218, 40.728366], [-73.977223, 40.72837], [-73.977231, 40.728375], [-73.977239, 40.728379], [-73.977245, 40.728382], [-73.977251, 40.728384], [-73.977258, 40.728387], [-73.977264, 40.728389], [-73.977272, 40.728392], [-73.97728, 40.728394], [-73.977289, 40.728396], [-73.977298, 40.728397], [-73.977306, 40.728398], [-73.977314, 40.728399], [-73.977323, 40.728399], [-73.977331, 40.728399], [-73.977343, 40.728399], [-73.977356, 40.728397], [-73.977368, 40.728395], [-73.977379, 40.728393], [-73.977392, 40.728391], [-73.977403, 40.728389], [-73.977415, 40.728388], [-73.977425, 40.728388], [-73.977436, 40.728388], [-73.977447, 40.728389], [-73.977459, 40.72839], [-73.977473, 40.728393], [-73.9775, 40.728404], [-73.978114, 40.728659], [-73.978022, 40.728784], [-73.977983, 40.728836], [-73.977944, 40.728889], [-73.977907, 40.728939], [-73.977867, 40.728992], [-73.977739, 40.729164], [-73.976953, 40.728832], [-73.977138, 40.728575], [-73.976608, 40.728351], [-73.976524, 40.728316], [-73.976437, 40.728279], [-73.976351, 40.728242], [-73.976166, 40.728499], [-73.975889, 40.728382], [-73.976091, 40.728096], [-73.976247, 40.727875]]",1003960010,40.7285423,-73.9772083,4.96,3.44,0,6.5,12c,NYC HOUSING AUTHORITY,10009,396,85511,423836,04
2,2019M0319,NYCHA - New York City Housing Authority,Manhattan,True,Campos Plaza I & II Non-ULURP Modification,"This is a public/private application by the New York City Housing Authority (NYCHA) and Madison Realty Capital requesting a non-ULURP modification to the Campos Plaza II Large Scale Residential Development to facilitate the development of a 24-story residential building with community facility space, ground floor retail, and 175 dwelling units, 53 of which are proposed to be affordable. The project is located in the East Village neighborhood of Manhattan, Community District 3.",22CHA002M,In Public Review,,['M220384ZSM'],"[[-73.976247, 40.727875], [-73.976703, 40.727231], [-73.97679, 40.727267], [-73.97856, 40.728014], [-73.978472, 40.728135], [-73.978334, 40.728325], [-73.978291, 40.728385], [-73.97825, 40.728443], [-73.978201, 40.72851], [-73.977966, 40.728413], [-73.97805, 40.7283], [-73.978146, 40.728164], [-73.977442, 40.727872], [-73.977262, 40.72812], [-73.977194, 40.728214], [-73.977175, 40.728242], [-73.977172, 40.72825], [-73.97717, 40.728259], [-73.977168, 40.728268], [-73.977168, 40.72828], [-73.977169, 40.728289], [-73.97717, 40.728298], [-73.977172, 40.728307], [-73.977176, 40.728316], [-73.977182, 40.728328], [-73.977187, 40.728335], [-73.977191, 40.728341], [-73.977197, 40.728347], [-73.977201, 40.728352], [-73.977207, 40.728357], [-73.977213, 40.728362], [-73.977218, 40.728366], [-73.977223, 40.72837], [-73.977231, 40.728375], [-73.977239, 40.728379], [-73.977245, 40.728382], [-73.977251, 40.728384], [-73.977258, 40.728387], [-73.977264, 40.728389], [-73.977272, 40.728392], [-73.97728, 40.728394], [-73.977289, 40.728396], [-73.977298, 40.728397], [-73.977306, 40.728398], [-73.977314, 40.728399], [-73.977323, 40.728399], [-73.977331, 40.728399], [-73.977343, 40.728399], [-73.977356, 40.728397], [-73.977368, 40.728395], [-73.977379, 40.728393], [-73.977392, 40.728391], [-73.977403, 40.728389], [-73.977415, 40.728388], [-73.977425, 40.728388], [-73.977436, 40.728388], [-73.977447, 40.728389], [-73.977459, 40.72839], [-73.977473, 40.728393], [-73.9775, 40.728404], [-73.978114, 40.728659], [-73.978022, 40.728784], [-73.977983, 40.728836], [-73.977944, 40.728889], [-73.977907, 40.728939], [-73.977867, 40.728992], [-73.977739, 40.729164], [-73.976953, 40.728832], [-73.977138, 40.728575], [-73.976608, 40.728351], [-73.976524, 40.728316], [-73.976437, 40.728279], [-73.976351, 40.728242], [-73.976166, 40.728499], [-73.975889, 40.728382], [-73.976091, 40.728096], [-73.976247, 40.727875]]",1003950022,40.7278259,-73.9768297,2.87,3.44,0,6.5,12c,NYCHA TRIBOROUGH PRESERVATION HDFC,10009,395,52003,149253,03
3,2019M0319,NYCHA - New York City Housing Authority,Manhattan,True,Campos Plaza I & II Non-ULURP Modification,"This is a public/private application by the New York City Housing Authority (NYCHA) and Madison Realty Capital requesting a non-ULURP modification to the Campos Plaza II Large Scale Residential Development to facilitate the development of a 24-story residential building with community facility space, ground floor retail, and 175 dwelling units, 53 of which are proposed to be affordable. The project is located in the East Village neighborhood of Manhattan, Community District 3.",22CHA002M,In Public Review,,['M220384ZSM'],"[[-73.976247, 40.727875], [-73.976703, 40.727231], [-73.97679, 40.727267], [-73.97856, 40.728014], [-73.978472, 40.728135], [-73.978334, 40.728325], [-73.978291, 40.728385], [-73.97825, 40.728443], [-73.978201, 40.72851], [-73.977966, 40.728413], [-73.97805, 40.7283], [-73.978146, 40.728164], [-73.977442, 40.727872], [-73.977262, 40.72812], [-73.977194, 40.728214], [-73.977175, 40.728242], [-73.977172, 40.72825], [-73.97717, 40.728259], [-73.977168, 40.728268], [-73.977168, 40.72828], [-73.977169, 40.728289], [-73.97717, 40.728298], [-73.977172, 40.728307], [-73.977176, 40.728316], [-73.977182, 40.728328], [-73.977187, 40.728335], [-73.977191, 40.728341], [-73.977197, 40.728347], [-73.977201, 40.728352], [-73.977207, 40.728357], [-73.977213, 40.728362], [-73.977218, 40.728366], [-73.977223, 40.72837], [-73.977231, 40.728375], [-73.977239, 40.728379], [-73.977245, 40.728382], [-73.977251, 40.728384], [-73.977258, 40.728387], [-73.977264, 40.728389], [-73.977272, 40.728392], [-73.97728, 40.728394], [-73.977289, 40.728396], [-73.977298, 40.728397], [-73.977306, 40.728398], [-73.977314, 40.728399], [-73.977323, 40.728399], [-73.977331, 40.728399], [-73.977343, 40.728399], [-73.977356, 40.728397], [-73.977368, 40.728395], [-73.977379, 40.728393], [-73.977392, 40.728391], [-73.977403, 40.728389], [-73.977415, 40.728388], [-73.977425, 40.728388], [-73.977436, 40.728388], [-73.977447, 40.728389], [-73.977459, 40.72839], [-73.977473, 40.728393], [-73.9775, 40.728404], [-73.978114, 40.728659], [-73.978022, 40.728784], [-73.977983, 40.728836], [-73.977944, 40.728889], [-73.977907, 40.728939], [-73.977867, 40.728992], [-73.977739, 40.729164], [-73.976953, 40.728832], [-73.977138, 40.728575], [-73.976608, 40.728351], [-73.976524, 40.728316], [-73.976437, 40.728279], [-73.976351, 40.728242], [-73.976166, 40.728499], [-73.975889, 40.728382], [-73.976091, 40.728096], [-73.976247, 40.727875]]",1003950009,40.7278425,-73.9776848,2.04,3.44,0,6.5,12c,NYCHA TRIBOROUGH PRESERVATION HDFC,10009,395,62591,127950,03
4,2021M0157,FDNY - Fire Department of NYC,Manhattan,True,Block 675 - EMS #7 relocation,"Combined Site Selection and Site Acquisition action to facilitate the relocation of EMS #7 is being sought by FDNY and DCAS at 601-613 West 29th Street (Block 675, Lot 12), Community District 4, Manhattan.",22FDO002M,In Public Review,2022-05-27T00:00:06.000Z,['C220468PCM'],"[[-74.004607, 40.753184], [-74.004526, 40.753151], [-74.004355, 40.753388], [-74.004026, 40.753249], [-74.004197, 40.753012], [-74.004373, 40.752768], [-74.004703, 40.752906], [-74.00494, 40.753005], [-74.005098, 40.753072], [-74.006046, 40.753469], [-74.005869, 40.753715], [-74.005074, 40.753381], [-74.004921, 40.753316], [-74.004763, 40.75325], [-74.004607, 40.753184]]",1006750012,40.7532335,-74.0049881,22.42,10.0,10,10.0,8b,WEST SIDE 11TH & 29TH LLC,10001,675,41968,940914,04
5,2021M0432,Leigh Whitman,Manhattan,False,405 West 206th Street FRESH,"The applicant is seeking a ZR 63-30 Certification for a FRESH Food Store to establish a 16,625 square feet FRESH Food Store and the reallocation to residential floor area at 405 West 206th Street, Manhattan, Community District 12. ",22DCP187M,In Public Review,,"['N220436ZCM', 'N220437LDM']","[[-73.917619, 40.863135], [-73.917942, 40.863271], [-73.918888, 40.86367], [-73.918802, 40.863788], [-73.918709, 40.863916], [-73.918623, 40.864035], [-73.918533, 40.864158], [-73.917587, 40.863759], [-73.917264, 40.863623], [-73.917619, 40.863135]]",1022030021,40.863446,-73.9176033,0.0,7.52,0,7.5,3a,HARLEM RIVER NINTH AVENUE DEVELOPMENT LL C,10034,2203,19984,0,10
6,2021M0432,Leigh Whitman,Manhattan,False,405 West 206th Street FRESH,"The applicant is seeking a ZR 63-30 Certification for a FRESH Food Store to establish a 16,625 square feet FRESH Food Store and the reallocation to residential floor area at 405 West 206th Street, Manhattan, Community District 12. ",22DCP187M,In Public Review,,"['N220436ZCM', 'N220437LDM']","[[-73.917619, 40.863135], [-73.917942, 40.863271], [-73.918888, 40.86367], [-73.918802, 40.863788], [-73.918709, 40.863916], [-73.918623, 40.864035], [-73.918533, 40.864158], [-73.917587, 40.863759], [-73.917264, 40.863623], [-73.917619, 40.863135]]",1022030009,40.8637127,-73.9182393,0.57,6.02,0,6.5,3a,"WEST 207 GROCERY OWNERS, LLC",10034,2203,59949,34000,05
7,2020M0112,HPD - NYC Dept of Housing Preservation & Development,Manhattan,False,The Lirio/MTA Site - 806 9th Avenue,"HPD proposes a zoning map amendment, a zoning text amendment, a special permit, site acquisition, and site disposition to facilitate the development of a new nine-story, mixed-use building containing approximately 111 affordable and supportive housing units, retail space, and new office space for the MTA in the Clinton/Hell’s Kitchen neighborhood of Manhattan, Community District 4.",20HPD053M,In Public Review,2021-10-29T00:00:09.000Z,"['N220219ZRM', '220220ZMM', '220221ZSM', '220222PPM', '220223PQM', '220221AZSM']","[[-73.985401, 40.764537], [-73.985477, 40.764569], [-73.985554, 40.764602], [-73.985708, 40.764666], [-73.98658, 40.765033], [-73.986484, 40.765165], [-73.986561, 40.765198], [-73.986614, 40.76522], [-73.986678, 40.765247], [-73.986771, 40.765286], [-73.986867, 40.765326], [-73.986952, 40.765362], [-73.986984, 40.765375], [-73.987036, 40.7654], [-73.987089, 40.765327], [-73.987332, 40.765429], [-73.987259, 40.76553], [-73.98702, 40.765858], [-73.98535, 40.765158], [-73.985196, 40.765093], [-73.984877, 40.764959], [-73.984481, 40.764793], [-73.984841, 40.764301], [-73.985401, 40.764537]]",1010440024,40.7646261,-73.985488,3.04,6.02,0,6.5,8c,ADA B LLC,10019,1044,800,2430,05
8,2020M0112,HPD - NYC Dept of Housing Preservation & Development,Manhattan,False,The Lirio/MTA Site - 806 9th Avenue,"HPD proposes a zoning map amendment, a zoning text amendment, a special permit, site acquisition, and site disposition to facilitate the development of a new nine-story, mixed-use building containing approximately 111 affordable and supportive housing units, retail space, and new office space for the MTA in the Clinton/Hell’s Kitchen neighborhood of Manhattan, Community District 4.",20HPD053M,In Public Review,2021-10-29T00:00:09.000Z,"['N220219ZRM', '220220ZMM', '220221ZSM', '220222PPM', '220223PQM', '220221AZSM']","[[-73.985401, 40.764537], [-73.985477, 40.764569], [-73.985554, 40.764602], [-73.985708, 40.764666], [-73.98658, 40.765033], [-73.986484, 40.765165], [-73.986561, 40.765198], [-73.986614, 40.76522], [-73.986678, 40.765247], [-73.986771, 40.765286], [-73.986867, 40.765326], [-73.986952, 40.765362], [-73.986984, 40.765375], [-73.987036, 40.7654], [-73.987089, 40.765327], [-73.987332, 40.765429], [-73.987259, 40.76553], [-73.98702, 40.765858], [-73.98535, 40.765158], [-73.985196, 40.765093], [-73.984877, 40.764959], [-73.984481, 40.764793], [-73.984841, 40.764301], [-73.985401, 40.764537]]",1010447501,40.7646233,-73.9848851,9.71,10.0,10,10.0,8c,UNAVAILABLE OWNER,10019,1044,26535,257556,04
9,2020M0112,HPD - NYC Dept of Housing Preservation & Development,Manhattan,False,The Lirio/MTA Site - 806 9th Avenue,"HPD proposes a zoning map amendment, a zoning text amendment, a special permit, site acquisition, and site disposition to facilitate the development of a new nine-story, mixed-use building containing approximately 111 affordable and supportive housing units, retail space, and new office space for the MTA in the Clinton/Hell’s Kitchen neighborhood of Manhattan, Community District 4.",20HPD053M,In Public Review,2021-10-29T00:00:09.000Z,"['N220219ZRM', '220220ZMM', '220221ZSM', '220222PPM', '220223PQM', '220221AZSM']","[[-73.985401, 40.764537], [-73.985477, 40.764569], [-73.985554, 40.764602], [-73.985708, 40.764666], [-73.98658, 40.765033], [-73.986484, 40.765165], [-73.986561, 40.765198], [-73.986614, 40.76522], [-73.986678, 40.765247], [-73.986771, 40.765286], [-73.986867, 40.765326], [-73.986952, 40.765362], [-73.986984, 40.765375], [-73.987036, 40.7654], [-73.987089, 40.765327], [-73.987332, 40.765429], [-73.987259, 40.76553], [-73.98702, 40.765858], [-73.98535, 40.765158], [-73.985196, 40.765093], [-73.984877, 40.764959], [-73.984481, 40.764793], [-73.984841, 40.764301], [-73.985401, 40.764537]]",1010440025,40.7645905,-73.9854122,4.24,6.02,0,6.5,8c,AMAZIS SOLOMON LIVING TRUST,10019,1044,760,3225,04
